"Term/Year Code","Coll","Dept","Degree","Major code","Major Name","Conc code","Concentration Name (if any)","Total","Men","Women","Sex Unknown","Caucasian","Asian American","African American","Hispanic","Native American","Hawaiian/Pacific Isl","Multiracial","International","Race Unknown","All   African American","All    Native American","All Hawaiian/ Pac Isl","All Asian","URM","Illinois","Non-Illinois","Academic Program Code","programtype"
"120251",NA,NA,"Campus total",NA,"Campus total",NA,"None",56619,29999,26482,138,20292,10954,2758,6574,25,20,1931,12192,1873,3591,669,158,12625,10018,31432,25187,NA,NA
"120251",NA,NA,NA,NA,"Undergraduate",NA,"None",35446,18239,17190,17,13290,7999,1883,5090,12,10,1465,5112,585,2468,463,108,9310,7431,26001,9445,NA,NA
"120251",NA,NA,NA,NA,"Graduate",NA,"None",19875,11304,8459,112,6239,2745,831,1358,12,10,421,7011,1248,1067,193,47,3065,2404,4836,15039,NA,NA
"120251",NA,NA,NA,NA,"Professional",NA,"None",1298,456,833,9,763,210,44,126,1,0,45,69,40,56,13,3,250,183,595,703,NA,NA
"120251","KL","306","BS","6147","SustainabilityinFood&EnviroSys",NA,"None",23,12,11,0,10,1,5,4,0,1,1,1,0,5,1,2,1,11,21,2,"10KL6147BS","Undergraduate"
"120251","KL","306","MS","5599","Bioprocessing and Bioenergy","5166","Professional Science Masters",3,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,"1PKS5599MS","Graduate"
"120251","KL","342","BS","5740","Ag Ldrship, Ed & Communication","5736","Agricultural Education",28,11,17,0,23,1,1,3,0,0,0,0,0,1,1,0,1,4,28,0,"10KL5736BS","Undergraduate"
"120251","KL","342","BS","5740","Ag Ldrship, Ed & Communication","5737","Org & Community Leadership",52,34,18,0,38,1,4,3,0,0,3,2,1,6,2,0,3,9,49,3,"10KL5737BS","Undergraduate"
"120251","KL","342","BS","5740","Ag Ldrship, Ed & Communication","5738","Ag Communications-Advertising",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,"10KL5738BS","Undergraduate"
"120251","KL","342","BS","5740","Ag Ldrship, Ed & Communication","6080","Agricultural Communications",39,14,25,0,36,0,1,2,0,0,0,0,0,2,0,0,0,3,35,4,"10KL6080BS","Undergraduate"
"120251","KL","342","MS","0181","Agricultural Education",NA,"None",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"10KS0181MS","Graduate"
"120251","KL","342","MS","5740","Ag Ldrship, Ed & Communication",NA,"None",9,2,7,0,6,0,2,0,0,0,0,1,0,2,0,0,0,2,5,4,"10KS5740MS","Graduate"
"120251","KL","342","MS","5740","Ag Ldrship, Ed & Communication",NA,"None",17,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,"10KS5740MSU","Graduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5003","Agri-Accounting",88,60,28,0,51,12,7,5,1,0,2,4,6,7,1,0,14,13,81,7,"10KL5003BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5005","Farm Management",14,12,2,0,12,0,1,1,0,0,0,0,0,1,0,0,0,2,14,0,"10KL5005BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5006","Agribusiness Markets & Mgmt",110,73,37,0,86,4,3,8,0,0,2,5,2,4,2,0,6,12,99,11,"10KL5006BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5007","Consumer Economics & Finance",211,168,43,0,108,37,10,28,0,0,10,16,2,14,1,0,46,40,187,24,"10KL5007BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5008","Envirnmntal Economics & Policy",50,22,28,0,25,4,2,5,0,0,4,10,0,5,0,0,8,10,36,14,"10KL5008BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5008","Envirnmntal Economics & Policy",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"10KL8037BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5010","Policy, Intl Trade, & Dvlpmt",18,12,6,0,5,4,1,3,0,0,1,4,0,2,0,1,4,5,12,6,"10KL5010BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5011","Public Policy and Law",55,21,34,0,20,12,6,12,0,0,2,2,1,7,0,0,16,18,50,5,"10KL5011BS","Undergraduate"
"120251","KL","470","BS","0176","Agr & Consumer Economics","5011","Public Policy and Law",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"10KL8037BS","Undergraduate"
